instagram,twitter,discord,opensea,volumeCount,floorPrice
163528,36954,7675,3100,1600,0.2
6769,90555,23845,2000,18600,0.27
2676,32983,18522,4200,7300,0.492
12904,94770,16275,4300,48000,0.744
3691,23348,9146,4200,4200,0.3
77,4653,1820,630,1400,0.2
8699,1809,2354,523,57.4,0.05
3216,938,15,95,3.9,0.04
431397,318513,156556,8900,167600,18.9
5604,69150,34968,4300,7300,0.2
858,13953,3890,4300,4200,0.069
62255,194316,60997,5300,64300,8.79
17985,42819,22819,4500,4200,0.16
8486,188270,41474,3300,4100,0.347
887,10295,9692,4500,4100,0.021
191300,21598,136468,4000,3800,0.15
13401,16696,24037,3700,3700,0.04
192,7903,7264,2800,7600,0.17
45464,18530,15631,4400,7000,0.15
1262,59671,13984,1800,6800,0.289
1423,37540,7789,4500,9200,0.119
1473586,49006,39083,5800,9400,0.25
31131,83753,262289,4900,13600,0.2
21188,31850,21855,5800,12400,0.2
2241,45122,21855,3900,12300,0.095
156996,24306,14633,3900,2800,0.313
14483,176351,12576,6800,9900,0.35
5697,80084,31409,5000,13300,1.24
10173,66037,14902,5600,13800,1.379
1698,17348,5971,2600,1200,0.04
970,13508,17109,3400,6000,0.85
2580399,48848,22113,5700,22900,1.19
37870,250218,21532,5000,8700,0.223
55756,255226,124393,3700,39200,2.85
1214,41086,16685,4000,2100,0.28
14148,8042,9955,2900,3000,0.185
1425,11731,8572,3100,697,0.029
10106,20192,10582,3600,4100,0.21
4039,97126,41575,44400,64800,0.001
432000,320100,156875,8900,169400,19.25
,126900,87917,5700,12600,0.94
645000,828700,166760,6400,487100,110
756,46000,15777,4600,14000,0.595
10100,163400,103883,5500,5200,0.476
,61600,31001,5700,11600,2.72
113000,44300,4690,6500,4400,0.35
25600,32100,21993,7100,2200,1.16
,39900,236968,2900,9500,0.574
,26300,,7600,2600,0.775
,149500,61104,245,23600,1.6
22700,,154601,3700,1800,0.41
43600,65300,249902,3600,4200,0.001
115000,828700,166801,5500,79900,7.5
64600,63600,143695,4800,7700,0.88
175000,543900,236969,4100,37000,6.55
,348600,,41600,28600,0.006
62600,195000,61175,11100,23900,1.31
,48000,,8100,2000,0.6
7877,46100,40305,3700,33000,3.85
12200,,42431,7500,7600,0.22
,231300,37402,4100,13200,3.9
19900,43700,65084,3600,11100,2
,,99744,9700,24100,1.58
,951700,304275,20500,155200,1.79
1072,,22069,3500,1200,0.325
,59000,21441,4400,52700,2.5
,4205,7536,1500,3500,2.98
1728,18000,13300,3500,3400,0.29
,310000,57876,4600,102500,15
,38700,32271,4700,3700,0.62
,64600,31610,5600,29500,1.72
19900,117500,21422,6200,26000,2.05
,42200,114266,12600,2900,0.179
,52700,14564,4400,2000,0.41
,121300,36692,3300,26100,1.06
69100,128500,246632,1400,5000,0.85
192,18600,24316,3600,5400,0.65
2767,9622,27922,1300,1400,1.45
15270,53700,28851,3500,1000,0.079
43100,66500,44547,2200,1100,0.225
2833,27100,23683,2100,768,0.484
,12700,3768,2300,4600,0.33
,31600,52411,401,14900,0.85
2753,7701,26232,1300,1400,1.44
40300,5362,2798,372,283,0.49
25000,155900,98125,7800,2100,0.11
1521,,26240,2000,2000,0.247
3697,16400,50167,4800,4400,0.098
,62400,18346,5800,4600,0.249
16900,32400,48255,4500,11300,0.209
1024,1940,6218,2800,2800,0.23
349,8489,6498,2500,739,0.063
,73600,25757,1100,2100,0.149
23000,39400,24808,3400,539,0.99
,21749,43800,4100,21000,0.299
130000,7455,9511,468,57.2,0.13
399000,161300,31624,677,3400,3.74
1318,14100,12683,3800,1400,0.08
1843,2333,5237,3400,2900,0.488
,66200,11851,1200,2000,0.28
10500,77300,51123,5700,7800,0.24
212000,9789,,789,2200,0.6
,48800,1392,240,853,0.3
1511,6412,1987,1300,332,0.058
45600,12400,18026,1800,17600,3.64
43600,65300,249902,760,2400,4.4
,179900,16425,603,6900,5.99
,38300,118399,6100,4200,0.15
6702,130700,115216,4800,2100,0.055
13400,52300,18289,5700,5800,0.278
2482,24600,6287,4800,8200,0.75
6992,142300,19419,5700,2000,0.039
,11900,8722,2400,5000,0.337
,6358,9598,4200,1700,0.097
46600,72300,97668,4100,17700,0.789
5900,24500,22850,3900,998,0.26
,6250,3242,3400,2900,0.15
1521,49400,26245,366,26600,1.77
6251,7742,2496,2300,1500,0.156
381,1039,2180,55,4300,13
,1466,743,1600,310,0.057
15700,9694,21924,885,575,0.56
,43200,9733,5400,5900,0.34
5401,106000,59348,798,43400,8.99
,22100,5786,2900,9000,0.58
,105900,26664,4800,22000,1.63
2356,8797,11432,640,49200,0.103
